id,quran_ayas_id,quran_ayas_languages_code,number,text
ENAA01,QA01,ENAA,1,"In the name of Allah, most benevolent, ever-merciful."
ENAA02,QA02,ENAA,2,"ALL PRAISE BE to Allah, Lord of all the worlds,"
ENAA03,QA03,ENAA,3,"Most beneficent, ever-merciful,"
ENAA04,QA04,ENAA,4,King of the Day of Judgement.
ENAA05,QA05,ENAA,5,"You alone we worship, and to You alone turn for help."
ENAA06,QA06,ENAA,6,"Guide us (O Lord) to the path that is straight,"
ENAA07,QA07,ENAA,7,"The path of those You have blessed, Not of those who have earned Your anger, nor those who have gone astray."
ENAA08,QA08,ENAA,8,ALIF LAM MIM.
ENAA09,QA09,ENAA,9,"This is The Book free of doubt and involution, a guidance for those who preserve themselves from evil and follow the straight path,"
ENAA10,QA10,ENAA,10,"Who believe in the Unknown and fulfil their devotional obligations, and spend in charity of what We have given them;"
ENAA11,QA11,ENAA,11,"Who believe in what has been revealed to you and what was revealed to those before you, and are certain of the Hereafter."
ENAA12,QA12,ENAA,12,They have found the guidance of their Lord and will be successful.
ENAA13,QA13,ENAA,13,"As for those who deny, it is all the same if you warn them or not, they will not believe."
ENAA14,QA14,ENAA,14,"God has sealed their hearts and ears, and veiled their eyes. For them is great deprivation."
ENAA15,QA15,ENAA,15,"And there are some who, though they say: ""We believe in God and the Last Day,"" (in reality) do not believe."
ENAA16,QA16,ENAA,16,"They (try to) deceive God and those who believe, yet deceive none but themselves although they do not know."
ENAA17,QA17,ENAA,17,"Sick are their hearts, and God adds to their malady. For them is suffering for they lie."
ENAA18,QA18,ENAA,18,"When asked to desist from spreading corruption in the land they say: ""Why, we are reformers."""
ENAA19,QA19,ENAA,19,"Yet they are surely mischief-mongers, even though they do not know."
ENAA20,QA20,ENAA,20,"When asked to believe as others do, they say: ""Should we believe like fools?"" And yet they are the fools, even though they do not know."
ENAA21,QA21,ENAA,21,"When they meet the faithful they say: ""We believe;"" but when alone with the devils (their fellows), they say: ""We are really with you; we were joking."""
ENAA22,QA22,ENAA,22,But God will turn the joke against them and allow them to sink deeper into evil and wander perplexed in their wickedness.
ENAA23,QA23,ENAA,23,"They are indeed those who bartered away good guidance for error and gained nothing from the deal, nor found the right way."
ENAA24,QA24,ENAA,24,"They are like a man who kindles a fire, and when its glow has illumined the air God takes away their light leaving them in the dark where they will not be able to see."
ENAA25,QA25,ENAA,25,"They are deaf, dumb and blind, and shall never return;"
ENAA26,QA26,ENAA,26,"Or like rain pouring from the sky which hides within it darkness, thunder and lightning. They thrust their fingers into their ears for safety against noise and death. But God surrounds those who believe not from all sides."
ENAA27,QA27,ENAA,27,Verily the lightning could snatch away their eyes. When it flashes forth they walk in its flare. When darkness returns they stand still. And if the Lord wills so He could take away their hearing and sight; surely God is all-powerful.
ENAA28,QA28,ENAA,28,"So, O you people, adore your Lord who created you, as He did those before you, that you could take heed for yourselves and fear Him"
ENAA29,QA29,ENAA,29,"Who made the earth a bed for you, the sky a canopy, and sends forth rain from the skies that fruits may grow -- your food and sustenance. So, do not make another the equal of God knowingly."
ENAA30,QA30,ENAA,30,"If you are in doubt of what We have revealed to Our votary, then bring a Surah like this, and call any witness, apart from God, you like, if you are truthful."
ENAA31,QA31,ENAA,31,"But if you cannot, as indeed you cannot, then guard yourselves against the Fire whose fuel is men and rocks, which has been prepared for the infidels."
ENAA32,QA32,ENAA,32,"Announce to those who believe and have done good deeds, glad tidings of gardens under which rivers flow, and where, when they eat the fruits that grow, they will say: ""Indeed they are the same as we were given before,"" so like in semblance the food would be. And they shall have fair spouses there, and live there abidingly."
ENAA33,QA33,ENAA,33,"God is not loath to advance the similitude of a gnat or a being more contemptible; and those who believe know whatever is from the Lord is true. But those who disbelieve say: ""What does God mean by this parable?"" He causes some to err this way, and some He guides; yet He turns away none but those who transgress,"
ENAA34,QA34,ENAA,34,"Who, having sealed it, break God's covenant, dividing what He ordained cohered; and those who spread discord in the land will suffer assuredly."
ENAA35,QA35,ENAA,35,Then how can you disbelieve in God? He gave you life when you were dead. He will make you die again then bring you back to life: To Him then you will return.
ENAA36,QA36,ENAA,36,"He made for you all that lies within the earth, then turning to the firmament He proportioned several skies: He has knowledge of everything."
ENAA37,QA37,ENAA,37,"Remember, when your Lord said to the angels: ""I have to place a trustee on the earth,"" they said: ""Will You place one there who would create disorder and shed blood, while we intone Your litanies and sanctify Your name?"" And God said: ""I know what you do not know."""
