id,quran_ayas_id,quran_ayas_languages_code,number,text
ENAR01,QA01,ENAR,1,"Allah - beginning with the name of - the Most Gracious, the Most Merciful."
ENAR02,QA02,ENAR,2,"All praise is to Allah, the Lord Of The Creation."
ENAR03,QA03,ENAR,3,"The Most Gracious, the Most Merciful"
ENAR04,QA04,ENAR,4,Owner of the Day of Recompense
ENAR05,QA05,ENAR,5,You alone we worship and from You alone we seek help (and may we always).
ENAR06,QA06,ENAR,6,Guide us on the Straight Path.
ENAR07,QA07,ENAR,7,The path of those whom You have favoured – Not the path of those who earned Your anger – nor of those who are astray.
ENAR08,QA08,ENAR,8,"Alif-Laam-Meem. (Alphabets of the Arabic language; Allah and to whomever He reveals, know their precise meanings.)"
ENAR09,QA09,ENAR,9,"This is the exalted Book (the Qur’an), in which there is no place for doubt; a guidance for the pious."
ENAR10,QA10,ENAR,10,"Those who believe without seeing (the hidden), and keep the (obligatory) prayer established, and spend in Our cause from what We have bestowed upon them."
ENAR11,QA11,ENAR,11,"And who believe in this (Qur’an) which has been sent down upon you, O beloved Prophet, (Mohammed – peace and blessings be upon him) and what was sent down before you; and are certain of the Hereafter."
ENAR12,QA12,ENAR,12,It is they who are on guidance from their Lord; and they are the successful.
ENAR13,QA13,ENAR,13,"As for those whose fate is disbelief, whether you warn them or do not warn them – it is all one for them; they will not believe. (Because their hearts are sealed – see next verse)."
ENAR14,QA14,ENAR,14,"Allah has sealed their hearts and their ears, and on their eyes is a covering; and for them is a terrible punishment."
ENAR15,QA15,ENAR,15,"And among the people are some* that say, “We believe in Allah and the Last Day**” whereas they are not believers! (* The hypocrites ** the Day of Resurrection)"
ENAR16,QA16,ENAR,16,They wish to deceive Allah and the believers; and in fact they deceive none except themselves and they do not have any understanding.
ENAR17,QA17,ENAR,17,"In their hearts is a disease, so Allah has increased their disease; and for them is a painful punishment, because of their lies."
ENAR18,QA18,ENAR,18,"And when it is said to them, “Do not cause turmoil in the earth”, they say, “We are only peacemakers!”"
ENAR19,QA19,ENAR,19,"Pay heed! It is they who are mischievous, but they do not have sense."
ENAR20,QA20,ENAR,20,"And when it is said to them, “Believe as the others believe”, they say, “Shall we believe as the foolish believe?” It is they who are the fools, but they do not know."
ENAR21,QA21,ENAR,21,"And when they meet with the believers, they say, “We believe”; and when they are alone with their devils, they say, “We are undoubtedly with you, we were just mocking!”"
ENAR22,QA22,ENAR,22,"Allah (befitting His Majesty) mocks them, leaving them to wander blindly in their rebellion."
ENAR23,QA23,ENAR,23,"These are the people who purchased error in exchange of guidance – so their bargain did not profit them, and they did not know how to trade."
ENAR24,QA24,ENAR,24,"Their example is like that of one who kindled a fire; and when it lit up all that was around it, Allah took away their light and left them in darkness, unable to see anything."
ENAR25,QA25,ENAR,25,"Deaf, dumb and blind; and they are not to return."
ENAR26,QA26,ENAR,26,"Or like a rainstorm from the sky, in which are darkness, thunder and lightning; they thrust their fingers in their ears due to the thunderclaps, fearing death; and Allah has the disbelievers encompassed."
ENAR27,QA27,ENAR,27,"It seems the lightning may snatch away their sight from them; whenever it flashes they walk in it, and when it darkens they stand still; if Allah willed, He could take away their hearing and their sight; indeed Allah is Able to do all things."
ENAR28,QA28,ENAR,28,"O mankind! Worship your Lord, Who has created you and those before you, in the hope of attaining piety."
ENAR29,QA29,ENAR,29,"The One Who has appointed the earth a base for you, and the sky a canopy – and caused water to pour down from the sky, thereby producing fruits as food for you; and do not knowingly set up rivals to Allah!"
ENAR30,QA30,ENAR,30,"And if you are in any doubt concerning what We have sent down upon Our distinguished bondman (Prophet Mohammed – peace and blessings be upon him), bring forth a single surah (chapter) equal to it; and call upon all your supporters, other than Allah, if you are truthful."
ENAR31,QA31,ENAR,31,"And if you are unable to bring forth (one chapter) – and We declare that you can never bring one – then fear the fire (of hell), the fuel of which is men and stones; kept ready for the disbelievers."
ENAR32,QA32,ENAR,32,"And give glad tidings to those who believe and do good deeds; that for them are Gardens beneath which rivers flow; when they are provided with a fruit of the Gardens, they will say, “This is the same food as what was given to us before” whereas it is in resemblance; and in the Gardens are pure spouses for them; and they shall abide in it forever."
ENAR33,QA33,ENAR,33,"Indeed Allah does not, for the sake of explanation, shy to illustrate an example of anything, whether it is of a gnat or something further (inferior) than it; so the believers know it is the Truth from their Lord; as for the disbelievers, they say, “What does Allah intend by such an example?” He misleads many thereby, and He guides many thereby; and with it He misleads only those who are rebellious."
ENAR34,QA34,ENAR,34,"Those who break the covenant of Allah after ratifying it – and sever what Allah has ordered to join, and who cause turmoil (evil / religious chaos) in the earth; it is they who are the losers."
ENAR35,QA35,ENAR,35,"What has made you disbelieve in Allah? Whereas you were dead and He gave you life; then He will give you death, then bring you to life again, and then it is to Him you will return!"
ENAR36,QA36,ENAR,36,"It is He Who created for you all that is in the earth; then He inclined towards the heaven, therefore fashioning it as proper seven heavens; and He knows everything."
ENAR37,QA37,ENAR,37,"And (remember) when your Lord said to the angels, “I am about to place My Caliph in the earth”; they said, “Will You place (as a caliph) one who will spread turmoil in it and shed blood? Whereas we glorify You with praise and proclaim Your Sanctity”; He said, “I know what you do not.”"
ENAR38,QA38,ENAR,38,"And Allah the Supreme taught Adam all the names (of things), then presented them to the angels, saying, “Tell Me the names of these, if you are truthful.”"
ENAR39,QA39,ENAR,39,"They said, “Purity is to You! We do not have any knowledge except what You have taught us! Indeed You only are the All Knowing, the Wise.”"
ENAR40,QA40,ENAR,40,"He said “O Adam! Inform them the names”; and when Adam had informed them their names, He said, “Did I not tell you that I know all the secrets of the heavens and the earth? And I know all what you disclose and all what you hide?”"
ENAR41,QA41,ENAR,41,"And (remember) when We ordered the angels to prostrate before Adam, so they all prostrated, except Iblis (Satan – devil); he refused and was proud – and became a disbeliever."
ENAR42,QA42,ENAR,42,"And We said, “O Adam! You and your wife dwell in this Garden, and eat freely from it wherever you please – but do not approach this tree for you will become of those who transgress.”"
ENAR43,QA43,ENAR,43,"So the devil destabilised them in it and removed them from where they were – and We said, “Go down, one of you is an enemy to the other; and for a fixed time you shall stay on earth and feed in it.”"
ENAR44,QA44,ENAR,44,"Then Adam learnt from his Lord certain words (of revelation), therefore Allah accepted his repentance; indeed He only is the Most Acceptor of Repentance, the Most Merciful. (See Verse 7:23)"
ENAR45,QA45,ENAR,45,"We said, “Go down from Paradise, all of you; then if some guidance comes to you from Me – so whoever follows My guidance, for such is neither fear nor any grief.”"
ENAR46,QA46,ENAR,46,"And those who disbelieve and deny Our signs, are the people of fire (hell); they will remain in it forever."
ENAR47,QA47,ENAR,47,"O Descendants of Israel (Jacob)! Remember My favour which I bestowed upon you, and fulfil your covenant towards Me, I shall fulfil My covenant towards you; and fear Me alone."
ENAR48,QA48,ENAR,48,"And accept faith in what I have sent down (the Qur’an), which confirms what is with you (the Torah / Bible), and do not be the first to disbelieve in it – and do not exchange My verses for an abject – and fear Me alone."
ENAR49,QA49,ENAR,49,"And do not mix the truth with falsehood, nor purposely conceal the truth."
ENAR50,QA50,ENAR,50,"And keep the (obligatory) prayer established, and pay the charity, and bow your heads with those who bow (in prayer)."
ENAR51,QA51,ENAR,51,"What! You enjoin righteousness upon people while you forget (to practise it) yourselves, whereas you read the Book? Do you not have sense?"
ENAR52,QA52,ENAR,52,And seek help in patience and prayer; and truly it is hard except for those who prostrate before Me with sincerity.
ENAR53,QA53,ENAR,53,"Who know that they have to meet their Lord, and that it is to Him they are to return."
ENAR54,QA54,ENAR,54,"O Descendants of Israel! Remember the favour of Mine, which I bestowed upon you and gave you superiority over others of your time. (by sending the Noble Messengers to your nation)"
ENAR55,QA55,ENAR,55,"And fear the Day (of Resurrection) when no soul will be exchanged for another, nor will any intercession be accepted for the disbelievers, nor will they be set free in lieu of compensation nor will they be helped."
ENAR56,QA56,ENAR,56,"(And remember) When We rescued you from Firaun’s people, for they were inflicting you with a dreadful torment, slaying your sons and sparing your daughters; that was a tremendous trial from your Lord (or a great reward)."
ENAR57,QA57,ENAR,57,"And when We split the sea for you thereby rescuing you, and drowned the Firaun's people in front of your eyes."
ENAR58,QA58,ENAR,58,"And when We made a commitment with Moosa (Moses) for forty nights – then behind him you started worshipping the calf, and you were unjust."
ENAR59,QA59,ENAR,59,Then after that We pardoned you so that you may be grateful.
ENAR60,QA60,ENAR,60,"And when We gave Moosa the Book (Taurat / Torah) and the criterion to judge right from wrong, so that you may attain guidance."
ENAR61,QA61,ENAR,61,"And when Moosa said to his people, “O my people! You have wronged yourselves by taking the calf,* therefore turn in repentance to your Creator, therefore kill each other; this is better for you before your Creator”; He therefore accepted your repentance; indeed He only is the Most Acceptor of Repentance, the Most Merciful. (* as your deity for worship)"
ENAR62,QA62,ENAR,62,And when you said “O Moosa! We will not believe you till we clearly see Allah”; so the thunder seized you while you were watching.
ENAR63,QA63,ENAR,63,"Then We brought you back to life after your death, so that you may be grateful."
ENAR64,QA64,ENAR,64,"And We made the clouds a canopy for you and sent down Manna and Salwa (birds) on you; “Eat of the pure things We have provided you”; they did not wrong Us in the least, but indeed they wronged themselves."
ENAR65,QA65,ENAR,65,"And when We said, “Enter this town and eat freely from what is in it, and enter the gate whilst prostrating, and say, ‘May our sins be forgiven’ – We will forgive you your sins; and We will soon increase the reward for the righteous.”"
ENAR66,QA66,ENAR,66,"But the unjust changed the word that had been ordered for another one, so We sent down a punishment on them from the skies, the recompense of their disobedience."
ENAR67,QA67,ENAR,67,"And when Moosa asked for water for his people, We said, “Strike this rock with your staff”; thereupon twelve springs gushed forth from it; each group recognised its drinking-place; “Eat and drink from what Allah has provided, and do not roam about the earth making turmoil in it.”"
ENAR68,QA68,ENAR,68,"And when you said, “O Moosa! We shall never put up with only one kind of food, so call upon your Lord to produce for us what the earth grows – some herbs, cucumbers, corn, lentils and onions”; he said, “What! You wish to exchange the better for something inferior? Therefore settle down in Egypt or any city, where you will get what you demand”; and disgrace and misery were destined for them; and they returned towards Allah’s wrath; that was because they disbelieved in Allah’s signs and wrongfully martyred the Prophets; that was for their disobedience and transgression."
ENAR69,QA69,ENAR,69,"Indeed the believers (the Muslims) and those among the Jews, the Christians, and the Sabeans who sincerely accept faith in Allah and the Last Day* and do good deeds – their reward is with their Lord; and there shall be no fear upon them nor shall they grieve. (* i.e. convert to Islam)"
ENAR70,QA70,ENAR,70,"And when We made a covenant with you and raised the Mount above you; “Accept and hold fast to what We give you, and remember what is in it, so that you may attain piety.”"
