id,quran_ayas_id,quran_ayas_languages_code,number,text
URAA01,QA01,URAA,1,شروع الله کا نام لے کر جو بڑا مہربان نہایت رحم والا ہے
URAA02,QA02,URAA,2,سب تعریفیں الله کے لیے ہیں جو سب جہانوں کا پالنے والا ہے
URAA03,QA03,URAA,3,بڑا مہربان نہایت رحم والا
URAA04,QA04,URAA,4,جزا کے دن کا مالک
URAA05,QA05,URAA,5,ہم تیری ہی عبادت کرتے ہیں اور تجھ ہی سے مدد مانگتے ہیں
URAA06,QA06,URAA,6,ہمیں سیدھا راستہ دکھا
URAA07,QA07,URAA,7,ان لوگوں کا راستہ جن پر تو نے انعام کیا نہ جن پر تیرا غضب نازل ہوا اور نہ وہ گمراہ ہوئے
URAA08,QA08,URAA,8,المۤ
URAA09,QA09,URAA,9,یہ وہ کتاب ہے جس میں کوئی بھی شک نہیں پرہیز گارو ں کے لیے ہدایت ہے
URAA10,QA10,URAA,10,جو بن دیکھے ایمان لاتے ہیں اور نماز قائم کرتے ہیں ا ور جو کچھ ہم نے انہیں دیا ہے اس میں خرچ کرتے ہیں
URAA11,QA11,URAA,11,اور جو ایمان لاتے ہیں اس پر جو اتارا گیا آپ پراور جو آپ سے پہلے اتارا گیا اور آخرت پر بھی وہ یقین رکھتے ہیں
URAA12,QA12,URAA,12,وہی لوگ اپنے رب کے راستہ پر ہیں اور وہی نجات پانے والے ہیں
URAA13,QA13,URAA,13,بے شک جو لوگ انکار کر چکے ہیں برابر ہے انہیں تو ڈرائے یا نہ ڈرائے وہ ایمان نہیں لائیں گے
URAA14,QA14,URAA,14,الله نے ان کے دلوں اورکانوں پرمہر لگا دی ہے اور ان کی آنکھوں پر پردہ ہے اوران کے لیے بڑا عذا ب ہے
URAA15,QA15,URAA,15,اور کچھ ایسے بھی لوگ ہیں جو کہتے ہیں کہ ہم الله اور قیامت کے دن پر ایمان لائے حالانکہ وہ ایمان دار نہیں ہیں
URAA16,QA16,URAA,16,الله اور ایمان داروں کو دھوکا دیتے ہیں حالانکہ وہ اپنے آپ ہی کو دھوکہ دے رہے ہیں اور نہیں سمجھتے
URAA17,QA17,URAA,17,انکے دلوں میں بیماری ہے پھر الله نے ان کی بیماری بڑھا دی اور ان کے لیے دردناک عذاب ہے اس لیے کہ وہ جھوٹ بولتے تھے
URAA18,QA18,URAA,18,اور جب انہیں کہا جاتا ہے کہ ملک میں فساد نہ ڈالو تو کہتے ہیں کہ ہم ہی تو اصلاح کرنے والے ہیں
URAA19,QA19,URAA,19,خبردار بے شک وہی لوگ فسادی ہیں لیکن نہیں سمجھتے
URAA20,QA20,URAA,20,اور جب انہیں کہا جاتا ہے ایمان لاؤ جس طرح اور لوگ ایمان لائے ہیں تو کہتے ہیں کیا ہم ایمان لائیں جس طرح بے وقوف ایمان لائے ہیں خبردار وہی بے وقوف ہیں لیکن نہیں جانتے
URAA21,QA21,URAA,21,اور جب ایمانداروں سے ملتے ہیں تو کہتے ہیں کہ ہم ایمان لائے اور جب اپنے شیطانوں کے پاس اکیلے ہوتے ہیں تو کہتے ہیں ہم توتمہارے ساتھ ہیں ہم تو صرف ہنسی کرنے والے ہیں
URAA22,QA22,URAA,22,الله ان سے ہنسی کرتا ہے اور انہیں مہلت دیتا ہے کہ وہ اپنی گمراہی میں حیران رہیں
URAA23,QA23,URAA,23,یہ وہ لوگ ہیں جنہوں نے ہدایت کے بدلے گمراہی خریدی سو ان کی تجارت نے نفع نہ دیا اور ہدایت پانے والے نہ ہوئے
URAA24,QA24,URAA,24,ان کی مثال اس شخص کی سی ہے جس نے آگ جلائی پھر جب آگ نے اس کے آس پاس کو روشن کر دیا تو الله نے ان کی روشنی بجھا دی اور انہیں اندھیروں میں چھوڑا کہ کچھ نہیں دیکھتے
URAA25,QA25,URAA,25,بہرے گونگے اندھے ہیں سو وہ نہیں لوٹیں گے
URAA26,QA26,URAA,26,یا جیسا کہ آسمان سے بارش ہو جس میں اندھیرے اور گرج اور بجلی ہو اپنی انگلیاں اپنے کانوں میں کڑک کے سبب سے موت کے ڈر سے دیتے ہوں اور الله کافروں کو گھیرے ہوئے ہے
URAA27,QA27,URAA,27,قریب ہے کہ بجلی ان کے آنکھیں اچک لے جب ان پر چمکتی ہے تو اس کی روشنی میں چلتے ہیں اور جب ان پر اندھیرا ہوتا ہے تو ٹھر جاتے ہیں اور اگر الله چاہے تو ان کے کان اور آنکھیں لے جائے بے شک الله ہر چیز پر قادر ہے
URAA28,QA28,URAA,28,اے لوگو اپنے رب کی عبادت کرو جس نے تمہیں پیدا کیا اور انہیں جو تم سے پہلے تھے تاکہ تم پرہیزگار ہو جاؤ
URAA29,QA29,URAA,29,جس نے تمہارے لیے زمین کو بچھونا اور آسمان کو چھت بنایا اور آسمان سے پانی اتارا پھر اس سے تمہارے کھانے کے لیے پھل نکالے سو کسی کو الله کا شریک نہ بناؤ حالانکہ تم جانتے بھی ہو
URAA30,QA30,URAA,30,اور اگر تمہیں اس چیز میں شک ہے جو ہم نے اپنے بندے پر نازل کی ہے تو ایک سورت اس جیسی لے آؤ اور الله کے سوا جس قدر تمہارے حمایتی ہوں بلا لو اگر تم سچے ہو
URAA31,QA31,URAA,31,بھلا اگر ایسا نہ کر سکو اور ہرگز نہ کر سکو گے تو اس آگ سے بچو جس کا ایندھن آدمی اور پتھر ہیں جو کافرو ں کے لیے تیار کی گئی ہے
URAA32,QA32,URAA,32,اوران لوگو ں کو خوشخبری دے جو ایمان لائے اور اچھے کام کیے کہ ان کے لیے باغ ہیں ان کے نیچے نہریں بہتی ہیں جب انہیں وہاں کا کوئي پھل کھانے کو ملے گا تو کہیں گے یہ تو وہی ہے جو ہمیں اس سے پہلے ملا تھا اور انہیں ہم شکل پھل دیئے جائیں گے اور ان کے لیے وہاں پاکیزہ عورتیں ہوں گی اوروہ وہیں ہمیشہ رہیں گے
URAA33,QA33,URAA,33,بے شک الله نہیں شرماتا اس بات سے کہ کوئی مثال بیان کرے مچھر کی یا اس چیز کی جو اس سے بڑھ کر ہے سو جو لوگ مومن ہیں وہ اسے اپنے رب کی طرف سے صحیح جانتے ہیں اور جو کافر ہیں سو کہتے ہیں الله کا اس مثال سے کیا مطلب ہے الله اس مثال سے بہتوں کو گمراہ کرتا ہے اور بہتوں کو اس سے ہدایت کرتا ہے اوراس سے گمراہ تو بدکاروں ہی کو کیا کرتا ہے
URAA34,QA34,URAA,34,جو الله کے عہد کو پختہ کرنے کے بعد توڑتے ہیں اور جس کے جوڑنے کا الله نے حکم دیا ہے اسے توڑتے ہیں اور ملک میں فساد کرتے ہیں وہی لوگ نقصان اٹھانے والے ہیں
URAA35,QA35,URAA,35,تم الله کا کیونکر انکار کرسکتے ہو حالانکہ تم بے جان تھے پھر تمہیں زندہ کیا پھر تمہیں مارے گا پھر تمہیں زندہ کرے گا پھر تم اسی کے پاس لوٹ کر جاؤ گے
URAA36,QA36,URAA,36,الله وہ ہے جس نے جو کچھ زمین میں ہے سب تمہارے لیے پیدا کیا ہےپھر آسمان کی طرف متوجہ ہوا تو انہیں سات آسمان بنایا اور وہ ہر چیز جانتا ہے
