id,number,number_in_sura,sura,start_aya,end_aya,aya_completed,juz,number_in_juz
QJ01,1,1,QS01,QA01,QA07,7,QJ01,1
QJ02,2,1,QS02,QA08,QA14,7,QJ01,1
QJ03,3,2,QS02,QA15,QA27,13,QJ01,2
QJ04,4,3,QS02,QA28,QA36,9,QJ01,3
QJ05,5,4,QS02,QA37,QA46,10,QJ01,4
QJ06,6,5,QS02,QA47,QA53,7,QJ01,5
QJ07,7,6,QS02,QA54,QA66,13,QJ01,6
QJ08,8,7,QS02,QA67,QA68,2,QJ01,7
QJ09,9,8,QS02,QA69,QA78,10,QJ01,8
QJ10,10,9,QS02,QA79,QA89,11,QJ01,9
QJ11,11,10,QS02,QA90,QA93,4,QJ01,10
QJ12,12,11,QS02,QA94,QA103,10,QJ01,11
QJ13,13,12,QS02,QA104,QA110,7,QJ01,12
QJ14,14,13,QS02,QA111,QA119,9,QJ01,13
QJ15,15,14,QS02,QA120,QA128,9,QJ01,14
QJ16,16,15,QS02,QA129,QA136,8,QJ01,15
QJ17,17,16,QS02,QA137,QA148,12,QJ01,16
QJ18,18,17,QS02,QA149,QA154,6,QJ02,1
QJ19,19,18,QS02,QA155,QA159,5,QJ02,2
QJ20,20,19,QS02,QA160,QA170,11,QJ02,3
QJ21,21,20,QS02,QA171,QA174,4,QJ02,4
QJ22,22,21,QS02,QA175,QA183,9,QJ02,5
QJ23,23,22,QS02,QA184,QA189,6,QJ02,6
QJ24,24,23,QS02,QA190,QA195,6,QJ02,7
QJ25,25,24,QS02,QA196,QA203,8,QJ02,8
QJ26,26,25,QS02,QA204,QA217,14,QJ02,9
QJ27,27,26,QS02,QA218,QA223,6,QJ02,10
QJ28,28,27,QS02,QA224,QA228,5,QJ02,11
QJ29,29,28,QS02,QA229,QA235,7,QJ02,12
QJ30,30,29,QS02,QA236,QA238,3,QJ02,13
QJ31,31,30,QS02,QA239,QA242,4,QJ02,14
QJ32,32,31,QS02,QA243,QA249,7,QJ02,15
QJ33,33,32,QS02,QA250,QA255,6,QJ02,16
QJ34,34,33,QS02,QA256,QA260,5,QJ03,1
QJ35,35,34,QS02,QA261,QA264,4,QJ03,2
QJ36,36,35,QS02,QA265,QA267,3,QJ03,3
QJ37,37,36,QS02,QA268,QA273,6,QJ03,4
QJ38,38,37,QS02,QA274,QA280,7,QJ03,5
QJ39,39,38,QS02,QA281,QA288,8,QJ03,6
QJ40,40,39,QS02,QA289,QA290,2,QJ03,7
QJ41,41,40,QS02,QA291,QA293,3,QJ03,8
QJ42,42,1,QS03,QA294,QA302,9,QJ03,9
QJ43,43,2,QS03,QA303,QA313,11,QJ03,10
QJ44,44,3,QS03,QA314,QA323,10,QJ03,11
QJ45,45,4,QS03,QA324,QA334,11,QJ03,12
QJ46,46,5,QS03,QA335,QA347,13,QJ03,13
QJ47,47,6,QS03,QA348,QA356,9,QJ03,14
QJ48,48,7,QS03,QA357,QA364,8,QJ03,15
QJ49,49,8,QS03,QA365,QA373,9,QJ03,16
QJ50,50,9,QS03,QA374,QA384,11,QJ03,17
QJ51,51,10,QS03,QA385,QA394,10,QJ04,1
QJ52,52,11,QS03,QA395,QA402,8,QJ04,2
QJ53,53,12,QS03,QA403,QA413,11,QJ04,3
QJ54,54,13,QS03,QA414,QA422,9,QJ04,4
QJ55,55,14,QS03,QA423,QA436,14,QJ04,5
QJ56,56,15,QS03,QA437,QA441,5,QJ04,6
QJ57,57,16,QS03,QA442,QA448,7,QJ04,7
QJ58,58,17,QS03,QA449,QA464,16,QJ04,8
QJ59,59,18,QS03,QA465,QA473,9,QJ04,9
QJ60,60,19,QS03,QA474,QA482,9,QJ04,10
QJ61,61,20,QS03,QA483,QA493,11,QJ04,11
QJ62,62,1,QS04,QA494,QA503,10,QJ04,12
QJ63,63,2,QS04,QA504,QA507,4,QJ04,13
QJ64,64,3,QS04,QA508,QA515,8,QJ04,14
QJ65,65,4,QS04,QA516,QA518,3,QJ05,1
QJ66,66,5,QS04,QA519,QA526,8,QJ05,2
QJ67,67,6,QS04,QA527,QA535,9,QJ05,3
QJ68,68,7,QS04,QA536,QA543,8,QJ05,4
QJ69,69,8,QS04,QA544,QA552,9,QJ05,5
QJ70,70,9,QS04,QA553,QA563,11,QJ05,6
QJ71,71,10,QS04,QA564,QA569,6,QJ05,7
QJ72,72,11,QS04,QA570,QA580,11,QJ05,8
QJ73,73,12,QS04,QA581,QA584,4,QJ05,9
QJ74,74,13,QS04,QA585,QA589,5,QJ05,10
QJ75,75,14,QS04,QA590,QA593,4,QJ05,11
QJ76,76,15,QS04,QA594,QA597,4,QJ05,12
QJ77,77,16,QS04,QA598,QA605,8,QJ05,13
QJ78,78,17,QS04,QA606,QA608,3,QJ05,14
QJ79,79,18,QS04,QA609,QA619,11,QJ05,15
QJ80,80,19,QS04,QA620,QA627,8,QJ05,16
QJ81,81,20,QS04,QA628,QA634,7,QJ05,17
QJ82,82,21,QS04,QA635,QA645,11,QJ06,1
QJ83,83,22,QS04,QA646,QA655,10,QJ06,2
QJ84,84,23,QS04,QA656,QA664,9,QJ06,3
QJ85,85,24,QS04,QA665,QA669,5,QJ06,4
QJ86,86,1,QS05,QA670,QA674,5,QJ06,5
QJ87,87,2,QS05,QA675,QA680,6,QJ06,6
QJ88,88,3,QS05,QA681,QA688,8,QJ06,7
QJ89,89,4,QS05,QA689,QA695,7,QJ06,8
QJ90,90,5,QS05,QA696,QA703,8,QJ06,9
